station_name,fmisid,latitude,longitude
Karvia Alkkia,101272,62.18329,22.79983
Kauhajoki Kuja-Kokko,101289,62.41345,22.18372
Kankaanpää Niinisalo lentokenttä,101291,61.83864,22.46368
Virrat Äijänneva,101310,62.32783,23.54228
Tampere Siilinkari,101311,61.51757,23.75388
Jämsä Halli lentoasema,101315,61.85551,24.80459
Juupajoki Hyytiälä,101317,61.84591,24.28696
Jyväskylä lentoasema,101339,62.39758,25.67087
Luhanka Judinsalo,101362,61.70448,25.50529
Joutsa Savenaho,101367,61.87942,26.09478
Mikkeli lentoasema,101398,61.6886,27.20219
Juva Partala,101418,61.8923,27.88528
Varkaus Kosulanniemi,101421,62.32221,27.90785
Savonlinna lentoasema,101430,61.94638,28.93238
Rantasalmi Rukkasluoto,101436,62.06302,28.56618
Savonlinna Punkaharju Laukansaari,101441,61.80186,29.31506
Tohmajärvi Kemie,101459,62.23539,30.34662
Vaasa lentoasema,101462,63.05858,21.7546
Mustasaari Valassaaret,101464,63.43508,21.06856
Korsnäs Bredskäret,101479,62.93488,21.18485
Maalahti Strömmingsbådan,101481,62.97839,20.74008
Vaasa Klemettilä,101485,63.09871,21.63938
Seinäjoki Pelmaa,101486,62.93808,22.48878
Kauhava lentokenttä,101503,63.12033,23.04364
Ähtäri Inha,101520,62.55461,24.14239
Halsua Purola,101528,63.44564,24.44422
Alajärvi Möksy,101533,63.08898,24.26084
Multia Karhila,101536,62.51044,24.80764
Viitasaari Haapaniemi,101537,63.08225,25.85862
Vesanto kirkonkylä,101555,62.92178,26.4247
Siilinjärvi Kuopio lentoasema,101570,62.99842,27.80817
Kuopio Maaninka,101572,63.14343,27.31317
Kuopio Ritoniemi,101580,62.79892,27.90495
Kuopio Savilahti,101586,62.89256,27.63331
Rautavaara Ylä-Luosta,101603,63.37806,28.66166
Liperi Joensuu lentoasema,101608,62.65695,29.63608
Juuka Niemelä,101609,63.23236,29.23397
Joensuu Linnunlahti,101632,62.60179,29.72713
Lieksa Lampela,101636,63.32108,30.04578
Ilomantsi Pötsönvaara,101649,63.14166,31.04454
Ilomantsi Mekrijärvi,101651,62.76942,30.97467
Pietarsaari Kallan,101660,63.75144,22.52282
Kokkola Tankar,101661,63.95114,22.84537
Kruunupyy Kokkola-Pietarsaari lentoasema,101662,63.72655,23.14359
Kalajoki Ulkokalla,101673,64.33073,23.44627
Kokkola Santahaka,101675,63.83882,23.09715
Toholampi Laitala,101689,63.82133,24.16323
Ylivieska lentokenttä,101690,64.05029,24.72468
Haapavesi Mustikkamäki,101695,64.14263,25.42335
Pyhäjärvi Ojakylä,101705,63.73589,25.70573
Kajaani lentoasema,101725,64.2829,27.67114
Vieremä Kaarakkala,101726,63.8409,27.22061
Nurmes Valtimo,101743,63.6673,28.82927
Sotkamo Kuolaniemi,101756,64.11197,28.33639
Kuhmo Kalliojoki,101773,64.29756,30.17068
Raahe Nahkiainen,101775,64.61178,23.89674
Hailuoto Keskikylä,101776,65.01967,24.72758
Kemi I majakka,101783,65.38508,24.09568
Hailuoto Marjaniemi,101784,65.03975,24.56118
Raahe Lapaluoto satama,101785,64.66589,24.40695
Oulu lentoasema,101786,64.93503,25.3392
Siikajoki Ruukki,101787,64.68421,25.08919
Oulu Vihreäsaari satama,101794,65.00637,25.39325
Vaala Pelso,101800,64.50144,26.42386
Pudasjärvi lentokenttä,101805,65.40014,26.96311
Suomussalmi Pesiö,101826,64.93125,28.74672
Puolanka Paljakka,101831,64.66392,28.0567
Kemi Kemi-Tornio lentoasema,101840,65.78944,24.58278
Kemi Ajos,101846,65.67318,24.51519
Tornio Kaakkuri,101851,65.84733,24.17369
Ranua lentokenttä,101873,65.97717,26.36757
Taivalkoski kirkonkylä,101885,65.57489,28.21766
Kuusamo lentoasema,101886,65.99334,29.22715
Kuusamo Kiutaköngäs,101887,66.36999,29.31188
Kuusamo Rukatunturi,101897,66.16614,29.15177
Kuusamo Juuma,101899,66.32027,29.39967
Ylitornio Meltosjärvi,101908,66.52952,24.6496
Pello kirkonkylä,101914,66.77278,23.96303
Rovaniemi lentoasema,101920,66.56236,25.83814
Rovaniemi rautatieasema,101928,66.49832,25.7088
Sodankylä Tähtelä,101932,67.36663,26.62901
Rovaniemi Apukka,101933,66.57944,26.01094
Kemijärvi lentokenttä,101950,66.71556,27.15906
Savukoski kirkonkylä,101952,67.28296,28.1786
Pelkosenniemi Pyhätunturi,101958,67.02191,27.21827
Salla kirkonkylä,101959,66.8166,28.68829
Salla Naruska,101966,67.16226,29.17766
Enontekiö lentoasema,101976,68.3614,23.42755
Muonio Laukukero,101982,68.06284,24.03335
Muonio Sammaltunturi,101983,67.97328,24.11559
Kittilä Matorova,101985,67.99996,24.24016
Kittilä lentoasema,101986,67.69168,24.85538
Kittilä Kenttärova,101987,67.98721,24.24301
Kittilä Pakatti,101990,67.66924,24.92927
Kittilä Pokka,101994,68.16961,25.78316
Sodankylä Lokka,102000,67.82147,27.74597
Sodankylä Vuotso,102001,68.08422,27.18501
Inari Saariselkä matkailukeskus,102005,68.41507,27.41323
Inari Saariselkä Kaunispää,102006,68.43399,27.44515
