year,month,day_of_month,day_of_week,total_trains_on_route,total_schedules_by_day,avg_stops_per_train,cancelled_trains_by_day,cancelled_stops_by_day,delay_count_by_day,delay_rate,delay_count_arrivals,delay_count_departures,max_delay_minutes,avg_delay_minutes,median_delay_minutes,delays_5_15min,delays_15_30min,delays_30_60min,delays_over_60min,first_stop_delay_count,delay_propagation_ratio,delay_count_by_train_type,top_10_common_delays,rolling_delay_rate_7d
2024,1,30,2,201,17718,88.15,2,120,4020,0.2269,2019,2001,58,13.38,8.0,2931,661,428,0,16,0.0244,"{""IC"": 3217, ""S"": 675, ""PYO"": 85, ""HDM"": 41, ""MV"": 2}","[5, 6, 7, 8, 9, 13, 12, 10, 11, 14]",0.3042
2024,1,31,3,203,17936,88.35,2,182,3816,0.2128,1914,1902,54,10.21,8.0,3192,507,117,0,8,0.0321,"{""IC"": 3271, ""S"": 429, ""PYO"": 64, ""HDM"": 48, ""MV"": 4}","[5, 6, 7, 8, 9, 13, 10, 11, 12, 14]",0.2923
2024,2,1,4,205,17830,86.98,2,152,3586,0.2011,1796,1790,441,51.99,9.0,2538,442,0,606,6,0.0149,"{""IC"": 2988, ""S"": 264, ""PYO"": 295, ""HDM"": 32, ""MV"": 7}","[5, 6, 7, 9, 8, 10, 11, 12, 14, 16]",0.2714
2024,2,2,5,215,19146,89.05,202,17042,604,0.0315,302,302,27,12.22,11.0,408,196,0,0,5,0.0515,"{""PYO"": 122, ""IC"": 336, ""MV"": 146}","[10, 9, 8, 5, 6, 7, 16, 13, 12, 11]",0.2199
2024,2,3,6,180,16046,89.14,5,158,3301,0.2057,1648,1653,87,13.78,9.0,2542,524,103,132,17,0.032,"{""IC"": 2707, ""S"": 409, ""PYO"": 88, ""HDM"": 83, ""MV"": 14}","[5, 6, 8, 7, 9, 10, 13, 12, 11, 14]",0.2047
2024,2,4,7,172,15518,90.22,0,0,4010,0.2584,2001,2009,105,16.99,10.0,2709,649,434,218,14,0.02,"{""IC"": 3109, ""S"": 744, ""PYO"": 76, ""HDM"": 81}","[5, 6, 7, 8, 12, 10, 9, 11, 13, 14]",0.2034
2024,2,5,1,201,17396,86.55,1,84,3753,0.2157,1880,1873,129,19.05,10.0,2450,776,305,222,19,0.027,"{""IC"": 2856, ""S"": 669, ""PYO"": 115, ""HDM"": 88, ""MV"": 25}","[5, 6, 7, 9, 8, 10, 12, 11, 14, 13]",0.1932
2024,2,6,2,206,17506,84.98,3,552,6099,0.3484,3050,3049,378,36.54,16.0,2808,1196,920,1175,28,0.0126,"{""IC"": 4804, ""S"": 769, ""PYO"": 395, ""HDM"": 99, ""MV"": 32}","[5, 6, 7, 8, 10, 9, 11, 12, 17, 16]",0.2105
2024,2,7,3,208,17860,85.87,5,118,6309,0.3532,3149,3160,149,21.02,11.0,3984,989,898,438,30,0.0149,"{""IC"": 4895, ""S"": 882, ""PYO"": 171, ""HDM"": 124, ""MV"": 237}","[5, 6, 7, 8, 9, 11, 10, 12, 13, 14]",0.2306
2024,2,8,4,204,17434,85.46,4,196,6216,0.3565,3116,3100,181,19.12,13.0,3449,1480,1095,192,34,0.0175,"{""IC"": 5299, ""S"": 646, ""PYO"": 155, ""HDM"": 105, ""MV"": 11}","[5, 6, 7, 8, 10, 9, 11, 14, 13, 12]",0.2528
2024,2,9,5,217,18870,86.96,10,872,9824,0.5206,4926,4898,202,46.25,32.0,3072,1525,2377,2850,59,0.0098,"{""IC"": 7095, ""S"": 1543, ""PYO"": 832, ""HDM"": 182, ""MV"": 172}","[5, 6, 7, 8, 9, 10, 11, 16, 12, 17]",0.3226
2024,2,10,6,183,16530,90.33,8,594,7447,0.4505,3728,3719,139,22.58,15.0,3497,2066,1411,473,40,0.015,"{""IC"": 5963, ""S"": 954, ""PYO"": 286, ""HDM"": 198, ""MV"": 46}","[5, 6, 7, 8, 9, 11, 10, 15, 13, 12]",0.3576
